194,317,28,131,74,8332,40,10,0,223,188,269,419,1768,0,110,110,119,8415,9,1,11,0,13,2,6,0,0,2,4,2,0,5,15,239,6,0,5,29,1,0,1,1,1,0,119,5,3,154,1,3,0,8,0,0,1,0,1,3,0,23,8,34,2,1,0,14,3,3,3,3,8,32,0,57,9,37,1,0,9,2,0,0,75,18,8,1,5,2,30,1,6,3,233,62,4177,296,1162,104,119,91,14,88,639,195,302,975,502,7268,0,6,440,3816,60,277,39,423,881,177,3869,5585,12385,838,0,9,0,68,12,71,767,595,185,264,47,4229,110,1859,10121,756,2,54,20,305,17,222,381,1904,38,6866,477,1459,58,327,269,298,0,11,2238,421,6659,106,4270,5,97,909,679,1
6,3298,0,1154,38,249,2901,322,1,1192,28,8130,1,834,110,0,1927,40,4011,11,1,0,0,0,0,0,0,0,1,8,0,0,0,2,0,227,31,6,59,1,20,15,20,10,0,793,0,0,559,0,69,0,28,0,0,4,8,0,0,4,40,17,364,0,10,0,63,0,23,3,0,0,0,0,464,18,41,0,3,49,0,0,25,118,873,0,0,1,0,221,24,10,1,8,228,32,4,0,9,14,1,11,28,175,1,0,2,20,9,0,18,232,671,220,383,3339,43,54,2,544,43,143,653,0,11,4,452,160,6,603,700,0,0,1,856,3922,2289,41,3,1,91,0,1973,90,3,11,6,0,811,177,466,28,192,2739,0,3,18,1391,1146,48,6,75,0,86,954,715,11
0,139,0,94,7,48,63,32,0,104,2,744,5,232,110,1927,0,57,894,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,4,1,5,0,0,1,0,33,0,0,18,0,13,0,5,0,0,0,1,0,0,0,5,10,15,0,0,0,7,0,1,1,0,0,0,0,22,2,4,0,1,10,0,0,5,7,5,0,0,0,1,5,5,6,0,6,464,1,1,0,0,0,0,0,5,29,0,1,0,17,0,2,24,262,604,275,1220,856,26,26,3,81,14,5,23,0,23,2,1229,2577,4,349,236,0,0,3,929,14334,922,5,0,16,96,0,754,454,0,3,12,0,81,238,611,22,149,6516,0,44,59,304,26,10,7,6,3,5,782,557,28
0,3,277,6,0,1,1,0,57,3,0,12,19,321,119,40,57,0,16,28,0,0,0,7,27,2,4,1,0,0,0,0,0,0,11,0,5,0,0,0,1,0,11,0,0,0,0,0,1,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,215,14,0,58,0,0,0,124,4,0,0,0,47,2,0,0,1,48,2,0,0,0,0,0,0,0,0,2,0,2,0,3,1,1,1,112,0,0,0,0,0,2,62,24,0,1,9,0,6,0,0,0,0,3,13,4,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,28,0,506,22,0,28,0,0,0,77,4,1,1,0
500,3706,319,1007,177,42162,369,74,1,1716,1478,7841,9073,5482,8415,4011,894,16,0,34,8,44,4,69,65,132,5,0,2,31,37,0,37,328,3579,87,18,19,130,7,16,3,20,11,1,1150,11,79,1046,0,21,1,25,0,1,7,5,1,53,1,131,38,244,14,47,1,77,77,9,6,67,165,394,0,548,50,86,1,3,26,8,2,16,389,105,37,42,67,2,340,25,16,7,588,108,9511,272,4093,513,1877,2221,47,197,1200,288,631,2578,2723,81412,1,10,433,6105,107,781,153,875,758,87,7814,4184,21095,3121,10,2,0,111,34,40,516,326,383,601,21,7380,799,5833,8641,1983,7,45,62,603,80,986,1834,14305,11,13452,670,2095,45,234,924,752,2,20,4872,2272,7976,301,17592,16,402,658,494,6
7,3014,18880,12661,64,163,12,1,12,788,1,54,690,66,9,11,3,28,34,0,5,2,0,3978,122,13,2,6,2,0,8,40,58,2144,1196,34,626,0,1,16,141,6,2971,7,0,3,2,28,9,108,119,0,13,0,0,7,5,19,9,0,29,8,104,5,0,962,5,102,0,10,223,3693,385,0,3,1,2,2,2,80,608,368,1606,3,109,1,14,17,284,3,8,12,0,2871,0,0,0,7739,2827,7,0,2,1,0,2,0,9,148,5661,0,0,0,0,0,0,0,145,1,0,1,0,0,2,793,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0,23,235,113,0,0,0,0,0,0,0,14,619,39,0,120,0,0,0,2977,4,0,0,0
60,239,4,867,59,78,148,216,0,350,3,6,0,4,1,1,1,0,8,5,0,0,7,0,3,0,0,0,1,73,6,9,1,24,0,289,823,9701,1810,8196,862,66,108,89,1,81,1,3,3,0,78,16,1618,31,13,1273,969,2,0,16,3095,1683,1026,1,0,43,3018,4,1438,4392,7,0,0,0,94,9112,9176,1333,2261,3264,1,15,112,367,3,2,21,0,0,1,2601,2742,87,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,1,0,0,0,0,47,1,83,0,0,0,0,0,1,0,0,0,0,0,10,2,7,0,0,2,0,0,0,33,2,0,0,0,0,0,0,0,0
156,8873,2934,813,982,3299,230,0,0,4714,4,291,198,10,11,0,0,0,44,2,0,0,0,2,4,221,1755,0,0,0,0,0,2,5,4165,4,0,0,0,0,0,0,1,4,0,210,292,780,199,0,0,0,0,0,0,1,0,0,2,5,0,0,0,2168,2219,0,6,0,0,0,0,2,17,0,93,0,2,0,0,0,3,0,0,0,6272,419,1,301,0,8,0,1,0,0,0,30279,2,0,0,4,195,0,0,0,2,0,0,4,5827,0,0,1,0,1,0,0,0,5,3,91,592,3749,243,0,0,0,0,0,3,6,1,0,0,0,0,0,0,2538,3598,0,0,0,3,0,2,0,4,0,78,0,1,0,1,0,0,0,0,0,5077,844,5,1884,0,85,1,0,0
1,1,82,762,10,12,0,0,0,26,0,4,0,0,0,0,0,0,4,0,7,0,0,0,0,7,0,0,1,0,958,0,13,60,1312,265,95,6,2,1,0,1,0,132,17416,49,1946,511,0,0,0,17,325,0,344,361,1118,1,15,3990,0,18,0,2261,0,0,220,12197,12,0,15,1,485,265,1578,6,9,2,52,0,1,0,0,6,0,9200,341,209,0,0,1163,1310,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
4,2574,4104,5543,30,117,0,0,2,862,2,43,823,132,13,0,0,7,69,3978,0,2,0,0,386,30,27,34,16,0,1,47,56,1078,4241,1,117,0,0,1,4,1,1042,0,0,0,1,0,40,119,4,0,1,0,0,0,0,47,7,0,0,0,2,3,0,415,2,160,0,3,80,1060,241,0,0,0,0,0,0,1,667,229,136,7,555,0,1,8,559,54,0,1,0,3094,0,0,0,19619,6836,38,0,2,1,0,0,2,9,180,15217,0,0,0,0,0,0,0,162,0,0,0,0,0,4,604,3,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0,13,428,161,1,0,0,0,0,0,0,11,359,28,0,405,0,0,0,2382,9,0,0,0
