799,1039,253,2735,394,1128,3418,49,17,561,10,119,592,43,113,215,12535,3876,0,7574,2453,2814,346,4,0,55,38,78,46,912,422,3,18,86,81,1,36,115,18,11,121,2304,6258,49,28,609,6,2
1783,1779,625,7822,725,1243,3620,806,336,3515,283,4156,9339,308,895,1586,4385,5965,7574,0,17224,9876,2486,61,0,24,31,21,95,724,804,118,126,138,137,70,308,242,41,68,156,745,8015,571,316,3523,69,352
456,1289,252,2444,165,104,1769,773,629,1079,208,1577,8591,221,423,1373,2718,3662,2453,17224,0,24427,6462,73,1,25,28,3,57,667,997,136,116,120,267,96,215,349,102,118,33,268,1762,427,172,1221,56,388
229,1918,191,136,43,4,1152,766,586,779,90,657,2961,70,171,1142,2521,19853,2814,9876,24427,0,22038,2214,0,34,76,2,71,4338,22182,6093,165,133,797,1374,179,723,1317,1291,11,77,1000,493,186,1528,1271,16730
1070,1591,42,48,295,8,69,1517,225,344,353,1811,6217,273,622,5513,255,267,346,2486,6462,22038,0,1624,1,2,140,1,21,336,1065,392,766,194,492,3121,566,2235,5666,13626,59,6,311,576,54,206,134,12167
76,840,2,1,14,0,2,352,128,24,66,216,130,48,34,107,2,68,4,61,73,2214,1624,0,0,0,84,0,0,3028,2977,5995,172,171,1028,7963,72,117,305,1247,1,0,2,219,8,21,981,10337
2612,14,55,15,21,7,2,10,1,1,0,1,0,0,4,5,0,0,0,0,1,0,1,0,0,0,1680,987,407,57,0,0,278,4,3,4,1,15,18,4,7,0,0,23,0,1,0,0
33,568,8100,739,10,391,6167,4,0,1,0,0,1,0,0,0,660,362,55,24,25,34,2,0,0,0,0,1136,4924,2046,313,0,1,15,5,0,0,0,0,0,1,70,23,4,0,1,0,0
3689,114,60,60,9,2,159,118,2,19,0,12,33,5,17,64,82,27,38,31,28,76,140,84,1680,0,0,310,2641,777,118,3,1327,125,53,245,28,60,109,108,1,0,10,127,0,11,9,1
10002,768,9613,1660,356,227,440,9,0,8,0,4,6,0,3,5,299,111,78,21,3,2,1,0,987,1136,310,0,10158,7395,302,1,280,2,3,2,0,0,2,1,225,99,16,2,0,9,32,0
14984,1141,12421,7498,987,887,5553,48,0,6,1,9,31,2,7,3,201,190,46,95,57,71,21,0,407,4924,2641,10158,0,10974,1278,2,363,33,32,2,2,0,1,2,202,212,17,3,0,1,0,0
1523,880,3660,270,80,7,12237,219,77,301,31,300,227,74,107,96,5117,3487,912,724,667,4338,336,3028,57,2046,777,7395,10974,0,30834,1402,141,647,3230,2574,116,338,229,360,11,43,318,359,33,496,266,934
246,946,239,63,26,2,1336,296,280,475,74,325,399,100,78,118,2537,4988,422,804,997,22182,1065,2977,0,313,118,302,1278,30834,0,4920,119,915,2575,1548,93,191,182,303,3,58,380,373,136,616,1307,3831
6,124,7,1,0,0,10,13,6,14,0,16,34,0,4,7,8,51,3,118,136,6093,392,5995,0,0,3,1,2,1402,4920,0,1,38,191,3146,1,16,48,184,0,1,55,14,0,76,1329,3309
9610,4760,157,101,1057,11,13,2209,13,75,31,324,335,17,101,554,18,11,18,126,116,165,766,172,278,1,1327,280,363,141,119,1,0,336,78,743,84,236,642,518,205,91,238,746,18,115,13,12
69,531,271,38,1,2,1289,1566,17,46,32,56,79,96,124,99,398,412,86,138,120,133,194,171,4,15,125,2,33,647,915,38,336,0,2642,276,718,683,240,229,0,9,40,367,1,40,108,4
235,291,103,9,8,2,347,247,15,243,19,177,377,93,165,427,344,776,81,137,267,797,492,1028,3,5,53,3,32,3230,2575,191,78,2642,0,1409,377,1485,509,534,0,8,49,295,16,195,126,61
1412,479,24,6,71,0,4,575,46,81,64,463,448,153,165,1120,16,29,1,70,96,1374,3121,7963,4,0,245,2,2,2574,1548,3146,743,276,1409,0,413,1491,2710,9022,10,0,55,330,12,73,224,3049
5,321,1,1,1,1,31,662,9,153,25,177,527,514,480,695,50,43,36,308,215,179,566,72,1,0,28,0,2,116,93,1,84,718,377,413,0,1597,769,357,0,30,128,120,8,103,4,2
899,217,4,4,26,0,46,679,88,136,127,582,824,311,1708,2416,83,79,115,242,349,723,2235,117,15,0,60,0,0,338,191,16,236,683,1485,1491,1597,0,3010,1014,2,2,41,305,14,84,9,26
1959,127,38,3,134,4,0,395,15,32,39,320,237,156,350,2085,4,22,18,41,102,1317,5666,305,18,0,109,2,1,229,182,48,642,240,509,2710,769,3010,0,6122,10,3,14,101,7,47,7,389
427,1016,4,0,52,3,0,548,57,43,167,516,267,198,289,1658,0,13,11,68,118,1291,13626,1247,4,0,108,1,2,360,303,184,518,229,534,9022,357,1014,6122,0,8,1,17,238,26,52,27,4837
936,2666,1039,836,2457,2500,372,50,0,33,0,60,101,0,3,52,34,12,121,156,33,11,59,1,7,1,1,225,202,11,3,0,205,0,0,10,0,2,10,8,0,919,616,30,2,177,8,1
297,4975,864,399,665,1576,5196,148,81,209,40,148,69,128,49,2,4904,103,2304,745,268,77,6,0,0,70,0,99,212,43,58,1,91,9,8,0,30,2,3,1,919,0,2413,80,166,575,3,0
1722,4770,354,1025,2804,2054,1036,239,104,1462,124,2183,2467,249,627,384,2783,1295,6258,8015,1762,1000,311,2,0,23,10,16,17,318,380,55,238,40,49,55,128,41,14,17,616,2413,0,150,373,3235,10,2
877,2870,121,32,185,20,24,3766,823,974,243,1267,631,97,260,145,62,187,49,571,427,493,576,219,23,4,127,2,3,359,373,14,746,367,295,330,120,305,101,238,30,80,150,0,693,802,13,87
24,318,5,0,20,5,3,313,316,612,8,72,142,2,1,14,33,240,28,316,172,186,54,8,0,0,0,0,0,33,136,0,18,1,16,12,8,14,7,26,2,166,373,693,0,1578,1,7
651,1947,145,265,700,1240,310,652,1444,4746,441,1907,924,176,295,172,326,680,609,3523,1221,1528,206,21,1,1,11,9,1,496,616,76,115,40,195,73,103,84,47,52,177,575,3235,802,1578,0,9,187
3,33,5,14,1,6,46,13,5,5,0,8,37,1,1,1,37,18,6,69,56,1271,134,981,0,0,9,32,0,266,1307,1329,13,108,126,224,4,9,7,27,8,3,10,13,1,9,0,392
