62,3,7,43,95,3481,1,0,0,175,123,1473,873,1324,1797,379,143,1,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,7,3,2,0,0,3,0,0,0,0,0,0,2,4,3,9,1,4,19,4,10,36,2,7,40,1,10,0,81,8,1,4,11,10,18,112,50,0,10,67,36,2,6,0,4,0,20
0,24,0,16,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,989,571,8,40,0,0,0,846,0,0,4,0,0,11,91,0,157,51,0,0,0,203,804,1212,0,0,7,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,50,6,5,0,0,0,1,3,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,304,0,0,0,54,0,0,7,4,0,3,0,0,4057,0,88,371,20,817,0,0,0,0,0,0,3,0,283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,0,0,16,2,221,0,0,0,0,0,0,0
0,220,93,230,178,3,0,0,0,43,0,0,12,0,0,0,0,0,1,3,5,0,0,0,0,23,2,0,0,0,0,0,0,0,0,1098,0,8,0,92,12,2554,0,0,1168,1919,154,2,62,0,0,0,75,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,6,0,0,0,0,0,0,0
0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,70,51,0,47,0,1,0,0,0,0,0,373,0,0,0,284,0,0,0,210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,4,0,15,1,0,268,37,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,50,2,0,0,2,0,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,85,1,2,991,21,0,8,0,0,0,0,0,1,0,0,0,7,0,0,3,158,0,188,3175,4,1978,8,1600,0,150,156,0,0,0,0,181,0,0,1,77,0,0,0,155,134,0,0,5,0,169,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84,2,15,6,6,10,0,0,16,0,0,0,0,0,0,0,0,0,989,0,23,4,0,188,0,1401,12,1189,0,4,0,483,2,0,4,0,0,8,171,0,478,259,0,0,0,4601,214,852,0,0,14,237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,0,82,6,1,405,89,0,22,0,0,0,0,0,1,0,0,0,571,0,2,1,50,3175,1401,0,6,950,8,621,2,1095,38,0,3,0,0,220,8,0,18,275,0,0,1,140,190,235,0,8,2,219,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,131,2,7,8,17,225,0,0,40,0,63,0,7,2,221,0,0,30,8,304,0,70,2,4,12,6,0,18,0,191,0,2,249,19,0,0,0,417,0,1513,0,1625,1,0,23,198,13,1,0,0,1,12,2,0,0,5,0,1,0,1,1675,1,0,121,0,0,4,63,0,0,0,96,0,52,0,812,0,0,1,35,2,2,0,0,1,6
